x,y,z
-21.2244,58.6719,-0.7784424
-22.098,57.3732,-0.4235229
-21.0372,57.1275,1.245667
-20.5419,56.3163,2.255737
-21.2283,56.3709,1.276855
-22.0902,56.1564,0.9609375
-21.2829,56.2344,1.68634
-19.6254,56.2422,3.23468
-20.8071,55.4076,3.437439
-21.2127,55.3218,2.848572
-21.6807,54.0738,2.46637
-22.4841,53.7813,2.517029
-22.8819,55.1385,1.620056
-22.254,57.1275,2.049072
-21.4272,57.7125,2.228455
-21.7782,58.2429,2.021729
-21.7665,57.6267,2.942139
-22.9209,56.9832,4.353943
-24.0129,55.5051,4.724426
-23.7555,54.4482,4.736145
-23.0652,54.6744,4.946777
-22.9833,55.9224,3.265869
-22.5816,57.8256,0.8010254
-21.7236,59.4597,-1.718323
-20.4756,61.2927,-2.229248
-20.811,61.4253,0.161438
-22.6557,59.6703,1.300232
-23.2329,57.0183,0.5358276
-22.8585,55.2438,1.284668
-23.5332,54.6705,3.230774
-23.5605,55.4973,2.310364
-24.0363,56.6166,0.3408203
-22.1487,57.3186,-0.8252563
-19.5981,59.3973,-0.5678711
-20.3781,59.5689,0.1965332
-21.8055,58.0986,-0.2987671
-22.683,56.0238,-1.515564
-22.8195,55.6143,-1.542847
-22.5504,56.3007,1.822876
-23.0184,56.0472,3.78064
-23.0613,55.5207,2.544373
-22.0239,55.5831,0.177063
-20.7564,56.3202,1.24176
-21.8211,57.2757,2.55603
-23.9895,57.771,1.245667
-23.151,56.5503,0.9258423
-21.4896,55.9029,0.7581787
-22.5192,55.6689,0.1380615
-23.3694,57.4473,2.084167
-22.9833,57.5916,3.83136
-22.0863,56.5854,4.447571
-22.9404,55.1151,2.68866
-23.5371,55.2906,3.921021
-23.4669,55.7742,4.022461
-23.1354,54.7836,1.713623
-22.6011,55.8834,-1.858765
-21.3375,59.4909,-3.58252
-20.109,63.2427,-3.492859
-20.5809,63.3636,-2.396973
-20.7408,60.3645,-1.437561
-20.6628,56.5464,-0.899353
-22.566,53.3562,0.6255493
-23.3226,52.7634,1.549866
-22.332,53.3757,1.382141
-20.9475,55.1502,0.3252563
-19.017,57.6618,-0.3416748
-19.6566,60.2397,-1.772949
-20.2923,61.0002,-1.663757
-20.2806,58.3014,-1.277649
-20.7564,55.2165,-0.3962402
-23.0964,53.4771,0.6099243
-23.7789,52.8999,1.674622
-22.5738,54.8187,2.403931
-21.1152,56.8584,2.836853
-21.7314,58.0986,1.690247
-22.5699,58.4028,1.015564
-22.2813,57.1821,1.304138
-22.0083,56.3592,2.025635
-22.3086,54.9825,3.039673
-23.3382,55.3179,2.442932
-24.204,55.1697,2.790039
-23.424,55.5324,2.353271
-23.1978,57.0495,2.056824
-22.8,58.5822,2.715942
-24.0402,59.2764,2.641846
-24.3912,58.5354,1.643433
-22.917,57.7515,2.142639
-23.7867,56.9949,4.451477
-26.1501,55.5285,4.069275
-26.1267,55.6728,3.811829
-23.2836,56.7726,0.6450806
-22.7727,59.3739,-2.315063
-22.7493,61.4097,-1.831421
-21.9069,61.6593,-0.03356934
-21.4038,59.7561,0.6021729
-23.7555,56.1057,0.6372681
-25.7445,54.0582,0.937561
-24.555,54.5262,2.216736
-22.2501,55.6494,3.616821
-22.4685,56.6361,0.6489258
-22.1565,57.732,-1.967957
-21.3063,59.4285,-0.8798218
-21.201,59.8653,1.265137
-22.4919,56.6517,1.460144
-23.5215,54.2961,1.425049
-22.3749,52.6698,2.119263
-21.8055,53.2431,0.9609375
-22.7415,54.8538,0.01324463
-21.8718,56.1447,-1.577942
-19.0443,57.5292,0.5631714
-19.2549,57.8958,1.920349
-22.1409,56.4333,0.5631714
-22.8975,54.2844,-0.03747559
-20.8812,53.2158,1.854065
-21.7041,53.2821,3.749451
-23.6892,53.2119,2.926575
-23.9895,54.0231,1.631775
-21.6378,55.4778,-0.4547729
-21.2244,59.0658,0.5397339
-22.0824,60.4269,0.6879272
-21.6495,60.2436,0.9921265
-21.3414,58.1766,2.357178
-21.4584,56.2617,3.897644
-24.5433,54.0777,4.32666
-26.505,51.9678,1.109131
-25.6977,52.389,-1.546753
-22.7571,56.3085,-4.097351
-20.3196,61.6242,-3.41095
-21.0099,63.8823,-2.014771
-22.2852,61.8192,-0.8681641
-23.1471,56.5425,-0.4937744
-24.1026,54.2025,-0.1895752
-24.6954,53.8359,1.600525
-23.8296,55.5363,2.766663
-22.6596,56.796,0.5046387
-21.4584,58.2312,-2.057678
-21.0606,59.9316,-2.260437
-21.1776,59.7834,-0.9968262
-22.7181,58.161,0.5319214
-23.7438,55.782,0.8361206
-23.5683,53.7618,1.01947
-23.5371,54.6276,1.354858
-23.9193,56.1993,2.946045
-23.5449,56.6283,3.585632
-22.5309,57.2133,2.095825
-22.1565,57.2445,0.5163574
-23.3928,57.6228,0.984375
-23.7321,58.0908,4.041931
-23.1978,57.0924,6.120667
-23.7594,55.3062,4.669861
-23.7126,54.0153,2.26355
-23.1198,55.4037,0.9414673
-22.6869,57.888,2.21283
-22.995,59.4285,2.829041
-22.6362,59.0541,2.829041
-20.8617,58.2741,1.487427
-21.552,57.2952,2.942139
-22.9755,56.3163,6.003662
-23.2485,54.7953,5.539551
-23.1939,53.7579,3.663635
-22.7142,55.4154,-0.2324219
-21.2478,59.1828,-2.568542
-20.2728,62.7084,-2.822021
-19.953,63.6171,-1.733948
-20.4522,61.0977,-0.5639648
-22.0005,56.991,-0.3182373
-23.6892,55.7118,0.8088379
-23.502,54.9279,3.72998
-23.7477,55.4856,4.49823
-23.7087,56.6205,1.900879
-22.0863,58.6524,-2.104431
-20.6121,60.3138,-2.112244
-21.3375,62.022,-1.297119
-22.1838,60.9768,-0.1349487
-22.5114,57.5799,-0.4196777
-23.3187,53.7033,0.03662109
-23.619,53.5005,1.323669
-23.9466,55.2711,2.985046
-23.3226,56.9559,3.016235
-22.2696,57.5721,1.88916
-21.4896,57.8646,1.460144
-22.1487,58.2819,0.7581787
-22.917,58.356,1.955444
-22.2423,56.4996,3.308777
-23.1003,54.2064,3.484253
-24.8397,53.0247,2.712036
-24.2469,53.6721,2.380554
-22.8702,56.0823,2.349365
-21.8445,59.331,1.530334
-22.4139,60.774,1.865723
-22.7337,59.253,3.141052
-23.1666,56.7453,3.846924
-24.1494,54.4638,4.630859
-24.2898,53.1729,4.989624
-24.789,53.2392,2.704224
-24.8553,54.8421,-1.39856
-22.0473,58.3404,-3.664429
-19.4148,62.6577,-2.564636
-19.3251,64.1007,-0.2324219
-21.9342,60.6648,-0.2675781
-24.3873,56.1837,-0.8369751
-23.6268,53.4576,0.492981
-22.8429,52.701,3.086426
-23.2836,53.7072,3.378967
-23.6775,54.0348,1.514771
-21.0099,55.002,-1.070923
-19.9803,58.0674,-1.850952
-20.5107,59.6742,-1.047546
-21.669,57.9309,0.715271
-21.1074,55.7352,1.276855
-21.1659,53.1768,1.421143
-23.3187,52.6074,1.382141
-24.2508,53.8788,2.158264
-22.9755,55.7898,0.7230225
-21.4506,57.8841,-0.5132446
-20.4132,59.0463,-0.914978
-21.3921,58.3716,-0.3533325
-22.2774,56.7336,1.370422
-22.566,54.534,2.727661
-22.9443,52.6074,3.082581
-22.7844,52.0185,3.055237
-22.2189,53.1807,2.977234
-21.6924,55.7742,2.021729
-21.3531,57.8256,-0.4235229
-21.6027,58.1415,-1.347839
-21.4467,58.5354,0.684021
-21.903,57.9231,3.534973
-23.2056,56.6673,4.938965
-24.2937,54.0777,3.648071
-23.8725,52.3032,2.286926
-22.7415,54.6705,-0.7862549
-22.1955,58.5315,-3.656677
-21.7899,62.1078,-2.580261
-20.9241,62.6343,-1.757324
-21.9186,59.9394,-2.077148
-23.0613,56.25,-0.5639648
-23.5488,53.9334,2.193359
-23.6775,52.8336,3.667542
-23.775,52.5567,3.612976
-23.4513,54.1557,2.259644
-22.3866,56.1681,-1.129456
-21.3921,59.1984,-3.832153
-20.7642,61.71,-2.919556
-20.9748,62.0844,-0.2831421
-22.332,58.9644,2.150452
-24.0402,54.495,3.936646
-24.8358,50.8329,4.447571
-25.6431,51.2541,2.692566
-25.0152,53.1651,1.144226
-22.1604,57.0924,-0.7862549
-19.4655,60.8793,-0.392334
-20.2338,61.9401,-1.250366
-22.1409,60.0603,-1.445374
-22.9326,57.0456,0.9765625
-23.8725,53.9178,2.992859
-25.2414,52.0302,2.957764
-24.8124,52.6347,3.277527
-22.4217,54.7875,2.185547
-21.2556,57.8178,0.9921265
-20.4288,60.2943,0.4695435
-21.1308,59.8146,0.08343506
-20.9241,58.6329,0.1380615
-21.8523,56.4372,2.407837
-22.7649,54.2571,3.472534
-23.2602,53.8827,4.689331
-22.3281,54.339,2.602844
-21.2556,56.5971,-0.03747559
-20.2026,59.5494,-0.930542
-20.4288,61.242,-1.047546
-20.9124,60.4152,-0.8252563
-20.5653,57.9933,0.3174438
-21.0723,55.821,1.194946
-22.4139,54.5262,3.086426
-23.5527,54.5613,4.794678
-23.0925,54.534,2.860229
-22.1604,54.9201,-0.05303955
-22.3905,56.6244,-2.443726
-21.006,59.8731,-3.395325
-19.7892,61.2069,-1.090454
-20.1051,61.2576,0.399353
-21.7782,58.2858,1.920349
-23.0769,53.7891,3.807922
-23.8764,50.9031,3.648071
-23.3616,50.8797,3.620728
-22.6869,53.9256,3.784546
-21.5832,56.9169,2.513123
-20.7642,58.9683,1.374329
-20.2689,59.9511,-0.5639648
-20.7252,59.6547,-0.8447266
-21.9888,58.8357,2.446838
-22.7883,56.0082,5.964661
-24.0987,53.5941,5.317261
-23.8374,51.9756,3.83136
-22.7844,53.9139,2.575562
-22.1877,57.8724,2.478027
-20.9475,61.047,1.694153
-21.0372,61.7724,1.659058
-21.7431,59.409,2.567749
-21.8328,57.03,3.316528
